고객ID,이탈여부,총매출액,구매금액대,방문빈도,1회 평균매출액,할인권 사용 횟수,총 할인 금액,고객등급,구매유형,클레임접수여부,구매카테고리수,거주지역,성별,고객 나이대,거래기간,할인민감여부,Recency,Frequency,Monetary,평균 구매주기
1,1,4963160,1,22,225598,1,5445,1,3,0,7,6,1,6,3303,0,3,2,1,149.1363636
2,1,2271520,0,38,59777,22,350995,1,1,0,5,4,0,2,3129,0,5,3,4,81.34210526
3,1,2484250,0,2,1242125,6,186045,1,2,1,4,6,0,3,3636,0,4,1,4,1817
4,1,2778850,0,9,308761,1,5195,2,4,0,4,5,0,4,3637,0,7,4,6,403.1111111
5,1,4437610,1,10,443761,9,246350,2,4,0,6,6,0,4,3638,0,5,1,4,362.8
6,1,10720400,2,4,2680100,20,348145,2,4,0,9,5,0,3,3639,1,7,4,1,908.75
7,1,7228460,1,11,657133,30,380945,2,1,0,3,6,1,4,3244,0,4,1,2,293.9090909
8,1,8790450,2,34,258543,4,354735,2,2,0,7,6,0,3,1940,0,6,3,6,56.05882353
9,1,9759800,2,6,1626633,17,364895,2,4,0,9,6,0,4,1940,1,7,4,6,322.3333333
10,1,4077660,0,95,42923,27,357645,1,4,0,9,5,0,2,3643,0,7,7,6,37.34736842
11,1,2125010,0,18,118056,23,379900,1,2,0,5,5,0,3,1456,0,5,1,4,79.88888889
12,1,2055120,0,8,256890,22,350050,1,2,0,5,7,0,3,3428,0,1,1,4,427.5
13,1,3168400,0,14,226314,1,4500,2,4,0,4,4,0,4,3646,0,4,1,4,259.4285714
14,1,2555650,0,28,91273,14,334100,1,3,1,8,4,0,3,3647,0,7,2,1,129.25
15,1,2110000,0,2,1055000,23,380200,1,4,1,9,3,0,4,3648,0,3,5,1,1823
16,1,3385460,0,3,1128487,30,379750,2,2,0,2,6,0,5,3649,0,2,1,2,1215.333333
17,1,1948100,0,7,278300,18,342145,1,4,0,5,5,1,3,1721,0,5,1,4,244.8571429
18,1,6780130,1,45,150670,22,350745,2,2,0,7,6,0,4,2162,0,6,4,6,47.04444444
19,1,3154780,0,11,286798,16,365845,1,3,1,7,6,1,5,3652,0,7,1,6,331
20,1,2708850,0,53,51110,23,380345,1,3,0,7,6,0,3,3653,0,7,5,6,67.9245283
21,1,4153320,1,11,377575,20,346850,2,2,0,2,6,0,4,2221,0,6,1,2,200.9090909
22,1,3945600,0,8,493200,15,325100,2,4,0,5,5,0,4,3655,0,5,1,4,455.875
23,1,2765000,0,4,691250,3,43695,1,1,1,4,6,0,3,3656,0,4,1,4,913
24,1,6179500,1,4,1544875,11,296450,2,4,0,2,6,0,6,3657,0,1,1,2,913.25
25,1,6480930,1,9,720103,27,357895,1,3,1,2,5,1,5,2238,0,7,5,3,247.6666667
26,1,2570550,0,12,214213,23,380845,1,3,1,3,3,0,3,3659,0,3,1,2,303.9166667
27,1,1946470,0,18,108137,7,210500,1,1,0,5,5,1,5,3660,0,7,5,6,202.3333333
28,1,3265440,0,37,88255,15,326295,1,2,0,6,5,0,2,1505,0,5,3,4,39.67567568
29,1,2517860,0,29,86823,3,43000,1,3,1,6,4,0,2,3171,0,5,2,4,108.3448276
30,1,2199380,0,9,244376,28,375900,1,4,1,5,5,0,4,3456,0,5,1,4,383
31,1,5130680,1,34,150902,12,214435,1,2,0,6,5,0,4,3664,0,6,3,3,106.7647059
32,1,3206640,0,13,246665,22,351495,2,3,0,6,6,0,2,2266,0,5,1,4,173.3076923
33,1,1992050,0,6,332008,15,325350,1,1,0,4,4,1,3,3464,0,4,1,4,576.3333333
34,1,3247500,0,5,649500,18,342645,2,1,0,3,4,1,3,3667,0,4,1,2,732.4
35,1,10890430,2,11,990039,5,131150,2,4,0,9,2,0,4,3668,1,7,1,6,332.4545455
36,1,2500700,0,9,277856,18,341645,1,2,0,3,6,1,3,1991,0,1,1,2,220.2222222
37,1,4792880,1,12,399407,21,348445,2,4,0,9,5,0,6,3670,0,7,5,6,304.8333333
38,1,2051500,0,4,512875,15,327045,1,4,1,3,4,0,4,1896,0,4,1,2,473
39,1,5123900,1,18,284661,30,380500,2,4,0,9,5,0,4,3672,0,3,4,5,203
40,1,2826250,0,10,282625,15,326795,1,4,0,3,7,0,4,1588,0,4,1,2,157.8
41,1,4299850,1,14,307132,30,381695,2,4,0,9,5,1,4,2583,0,7,5,6,183.5
42,1,3013140,0,50,60263,16,365900,1,4,0,7,6,0,4,1000,0,7,5,6,19
43,1,3425570,0,21,163122,19,351635,2,4,0,6,6,0,4,3502,0,5,2,4,165.7619048
44,1,9773200,2,7,1396171,22,350550,2,4,0,9,7,0,4,1216,1,7,6,6,172.7142857
45,1,4364460,1,24,181853,1,4945,1,4,0,6,6,0,4,3678,1,5,2,4,152.25
46,1,2575350,0,7,367907,11,295950,2,2,0,3,4,0,2,2519,0,4,1,2,358.8571429
47,1,3245650,0,5,649130,20,346950,1,4,0,9,5,1,4,3680,1,7,5,6,735
48,1,2066760,0,18,114820,18,341895,1,4,0,6,5,1,4,3370,0,5,1,4,186.2222222
49,1,2788830,0,23,121253,1,7400,1,4,1,7,5,1,4,1991,0,6,2,6,85.56521739
50,1,3186080,0,4,796520,28,376650,1,4,1,3,5,0,4,3683,0,4,1,5,919.75
51,1,2794500,0,2,1397250,19,365795,1,4,0,9,5,0,5,3684,1,7,4,6,1841
52,1,3024660,0,19,159193,1,3750,1,3,0,3,5,0,3,3685,0,3,5,5,192.9473684
53,1,2324550,0,4,581138,1,4250,1,4,1,9,4,0,4,1000,0,7,5,6,249
54,1,4230500,1,11,384591,19,367045,2,2,0,7,7,0,3,1287,0,1,1,6,116
55,1,10218050,2,33,309638,18,342395,2,4,0,6,5,0,3,1729,1,5,3,4,51.39393939
56,1,6997660,1,13,538282,19,367945,2,2,0,3,5,0,3,1618,0,4,1,2,123.4615385
57,1,3217260,0,11,292478,27,358145,1,2,1,4,6,0,5,3690,0,1,1,4,334.4545455
58,1,2233680,0,6,372280,11,295450,1,4,0,5,5,0,3,3269,0,5,1,4,543.8333333
59,1,3167980,0,12,263998,22,351745,1,2,0,6,5,0,3,1000,0,7,1,6,82.33333333
60,1,3562550,0,7,508936,5,131150,2,4,0,5,5,1,4,3693,0,6,1,4,526.5714286
61,1,5066830,1,23,220297,10,304645,2,2,0,7,5,1,3,3694,0,7,2,7,159.6086957
62,1,3912100,0,5,782420,28,376150,1,3,1,2,6,0,3,3695,1,2,1,2,738
63,1,6607480,1,9,734164,19,365600,2,2,0,4,4,0,4,3696,0,4,1,4,409.6666667
64,1,2391500,0,7,341643,17,365395,1,3,0,1,6,0,7,2800,0,2,1,2,399
65,1,2796860,0,5,559372,8,261200,1,3,0,4,6,0,5,2724,0,6,1,4,543.8
66,1,2648000,0,20,132400,23,379900,2,4,0,5,5,0,4,3699,0,5,2,4,183.95
67,1,1937900,0,16,121119,20,347600,1,2,0,5,5,1,2,1202,0,5,1,4,74.125
68,1,2304900,0,7,329271,5,130900,1,3,0,2,6,0,7,3701,0,6,1,2,527.7142857
69,1,4540390,1,20,227020,21,348000,2,2,0,7,5,0,5,3495,0,7,2,6,173.75
70,1,4940180,1,3,1646727,23,380145,2,4,0,2,4,0,5,3703,0,2,1,3,1233.333333
71,1,14545400,2,18,808078,7,209250,2,1,0,2,4,1,5,3704,1,2,1,2,204.7777778
72,1,2392650,0,11,217514,28,377345,1,3,1,6,4,1,5,3705,0,6,1,4,335.8181818
73,1,4301270,1,43,100030,23,379595,2,3,0,5,3,0,3,3706,0,5,4,4,85.18604651
74,1,2979800,0,11,270891,24,359750,1,3,0,3,5,0,3,1000,1,7,1,6,89.90909091
75,1,3763400,0,15,250893,3,43500,2,4,0,3,4,0,6,1000,0,1,1,3,65.66666667
76,1,2145750,0,27,79472,8,262645,1,4,1,5,6,0,5,2175,0,5,2,4,79.55555556
77,1,4233850,1,6,705642,25,358495,2,2,0,5,5,1,3,3275,0,5,1,4,544.8333333
78,1,5580380,1,4,1395095,27,357200,2,4,0,3,5,1,4,3711,0,1,1,6,926.75
79,1,2350300,0,25,94012,8,262145,1,4,1,6,5,0,4,3314,0,5,2,4,131.56
80,1,5294230,1,24,220593,1,6900,2,4,0,7,5,0,3,1207,0,7,2,6,49.29166667
81,1,3975000,0,8,496875,16,365650,1,3,1,3,6,0,3,1000,0,1,1,2,124
82,1,2429250,0,5,485850,1,5195,2,2,0,4,6,0,5,3715,0,4,1,4,742
83,1,2765860,0,11,251442,29,374050,2,3,0,4,4,0,2,2317,0,4,1,4,209.6363636
84,1,4477540,1,38,117830,21,348445,2,2,0,6,7,1,5,3717,0,1,3,4,96.81578947
85,1,1911390,0,12,159283,18,340700,1,4,0,2,3,0,3,3300,1,2,1,5,274
86,1,3538100,0,5,707620,22,351245,1,3,1,9,4,0,4,3719,1,7,4,6,742.8
87,1,3058100,0,5,611620,23,379200,1,2,0,4,6,1,3,1872,0,4,1,4,373.4
88,1,2588400,0,10,258840,10,303950,1,2,0,2,4,1,2,1000,0,2,1,2,99
89,1,4628840,1,5,925768,25,357550,2,4,0,5,5,0,6,3722,0,5,1,4,743.4
90,1,6610590,1,29,227951,11,296700,2,1,0,7,2,0,3,1900,1,7,2,6,64.51724138
91,1,1886100,0,2,943050,8,261450,2,2,0,2,7,0,3,3233,0,2,1,5,1615.5
92,1,3541490,0,13,272422,12,303445,2,4,0,5,5,0,3,2423,0,5,1,5,185.3846154
93,1,41946980,2,61,687655,7,210945,2,2,0,5,6,0,6,3522,1,5,6,1,56.73770492
94,1,5862290,1,23,254882,1,7400,2,2,0,6,7,0,3,3727,1,5,2,3,161.0434783
95,1,2359200,0,8,294900,22,350800,1,2,1,5,5,0,5,3728,0,5,1,4,465
96,1,3118420,0,7,445489,19,366295,1,4,0,3,5,0,4,3729,0,4,1,3,531.7142857
97,1,5068930,1,11,460812,12,303945,2,2,0,9,5,0,4,1000,1,7,5,6,89.90909091
98,1,2076600,0,6,346100,4,57700,1,2,0,2,6,0,4,1657,0,3,1,5,275.1666667
99,1,3407900,0,15,227193,9,247100,1,1,0,3,4,0,3,3310,0,4,1,2,219.6666667
100,1,3496680,0,10,349668,27,356450,1,4,0,3,3,0,4,3733,0,4,1,2,372.3
101,1,9390120,2,7,1341446,8,261700,2,4,0,2,3,0,5,3734,1,2,1,5,532.4285714
102,1,7511900,2,11,682900,9,245850,2,2,0,9,6,0,4,3735,0,7,6,6,338.5454545
103,1,2309070,0,29,79623,7,209750,1,4,0,4,5,0,3,3617,0,7,2,5,123.7241379
104,1,2609850,0,10,260985,22,350300,1,4,1,4,6,0,2,1794,0,4,1,4,178.4
105,1,7192650,1,43,167271,7,210250,2,3,0,5,7,1,6,3738,0,5,4,4,85.93023256
106,1,9605490,2,24,400229,30,315600,2,1,0,7,5,0,5,3739,1,7,2,5,154.7916667
107,1,3845650,0,12,320471,16,364650,2,1,0,2,5,0,3,3740,0,7,1,6,310.6666667
108,1,8724870,2,39,223715,9,246350,2,4,0,6,5,0,5,3741,0,5,3,3,94.92307692
109,1,8128800,2,43,189042,18,341200,2,3,0,5,6,0,5,3742,0,5,4,7,86.02325581
110,1,2267450,0,3,755817,27,356950,2,2,0,4,5,0,3,3322,0,4,1,4,1106.333333
111,1,2462800,0,8,307850,20,346850,2,4,0,5,5,0,6,3744,0,5,1,7,467
112,1,6439600,1,53,121502,28,376900,2,2,0,8,7,1,6,1457,0,7,5,6,26.49056604
113,1,3739770,0,18,207765,19,364850,1,2,0,2,6,0,4,3746,0,2,1,2,207.1111111
114,1,3386790,0,37,91535,16,366345,1,2,1,6,7,0,2,3415,0,3,3,4,91.2972973
115,1,9467440,2,17,556908,22,351245,2,2,1,3,5,1,6,3748,1,7,1,6,219.4705882
116,1,8294990,2,29,286034,12,302250,2,2,0,7,5,0,4,3749,0,7,2,6,128.2758621
117,1,4814660,1,10,481466,13,324545,1,4,0,9,3,1,4,3750,0,7,5,7,374
118,1,8753990,2,18,486333,23,379700,2,3,0,2,7,0,5,3751,0,2,1,2,207.3888889
119,1,2510830,0,18,139491,4,59145,1,2,1,3,5,1,4,3752,0,4,1,2,207.4444444
120,1,4210010,1,10,421001,26,365400,2,3,0,9,5,0,2,3535,1,7,6,6,352.5
121,1,5047300,1,4,1261825,24,360445,1,4,0,2,4,1,5,3754,0,2,1,2,937.5
122,1,3880420,0,5,776084,20,348045,2,4,0,9,7,1,4,3755,0,7,4,5,750
123,1,5247520,1,18,291529,16,366845,2,2,0,2,4,0,2,1770,0,2,1,2,97.33333333
124,1,1941820,0,12,161818,6,186100,1,2,1,5,5,0,3,1000,0,5,1,4,82.33333333
125,1,2510150,0,25,100406,7,210445,1,2,1,7,4,0,4,1234,0,3,2,5,48.36
126,1,3631280,0,47,77261,23,380095,1,4,0,6,6,0,2,1606,0,5,4,4,33.17021277
127,1,3616490,0,3,1205497,9,247545,2,2,0,3,6,0,6,2960,0,4,1,2,985.6666667
128,1,3237740,0,12,269812,28,386200,1,2,1,6,3,0,5,3761,0,5,1,4,312.4166667
129,1,4547770,1,9,505308,14,355000,2,2,0,4,5,1,6,2557,0,4,1,3,283.1111111
130,1,2063730,0,12,171978,10,303950,2,2,1,7,5,0,6,3763,0,7,1,6,312.5833333
131,1,9323000,2,19,490684,19,366545,2,2,0,2,6,0,3,1000,1,2,1,2,51.63157895
132,1,2604300,0,8,325538,22,350050,2,3,1,3,5,0,3,3765,0,7,1,6,469.625
133,1,9299790,2,34,273523,1,4500,2,2,1,8,6,0,3,3766,1,7,3,6,109.7647059
134,1,1998490,0,3,666163,22,351245,2,2,0,2,6,0,3,3767,0,2,1,2,1254.666667
135,1,3310700,0,4,827675,14,334600,2,3,0,4,4,0,5,1000,0,4,1,4,249
136,1,2227600,0,7,318229,6,185600,1,1,1,4,4,1,3,3769,0,4,1,3,537.4285714
137,1,6596740,1,10,659674,19,366045,2,2,0,2,6,0,3,2679,0,2,1,2,266.9
138,1,2310000,0,9,256667,15,325350,1,2,0,5,5,0,3,3771,0,6,1,4,418
139,1,4774000,1,8,596750,12,302750,2,4,0,9,5,1,4,3136,0,7,5,6,391
140,1,3084450,0,7,440636,20,348045,1,2,0,5,7,0,4,1000,0,5,1,4,141.8571429
141,1,4335240,1,40,108381,6,185350,2,4,1,5,6,0,4,3774,0,5,4,4,93.35
142,1,3070450,0,5,614090,30,381445,1,2,0,4,6,1,6,3775,0,4,1,4,754
143,1,19250170,2,12,1604181,19,359400,2,2,0,3,5,0,5,3776,1,7,1,6,313.6666667
144,1,3171300,0,13,243946,7,190035,1,4,1,9,5,0,4,3777,0,7,5,6,289.5384615
145,1,5734230,1,12,477853,28,376845,2,2,0,4,6,1,4,3778,0,4,1,4,313.8333333
146,1,6613410,1,36,183706,25,358300,2,4,0,8,5,1,4,3540,0,7,3,6,97.33333333
147,1,2182900,0,5,436580,26,365400,1,2,0,3,4,0,4,2512,1,4,1,2,501.4
148,1,2629050,0,11,239005,15,325350,1,1,1,9,5,0,5,3632,0,7,6,6,329.1818182
149,1,6542710,1,44,148698,7,210000,2,3,1,5,6,0,3,3782,0,5,4,4,84.95454545
150,1,3694700,0,5,738940,13,323350,1,2,0,2,4,0,3,2125,0,2,1,1,424
151,1,7552070,2,34,222120,30,379750,2,2,0,6,6,0,3,2224,0,5,3,4,64.41176471
152,1,5224840,1,13,401911,14,334350,2,2,0,3,6,0,3,1000,0,6,1,2,75.92307692
153,1,3048070,0,14,217719,18,340950,2,3,0,5,5,1,3,1000,0,5,1,4,70.42857143
154,1,7443220,2,18,413512,4,79100,2,2,0,9,6,0,4,3787,0,7,5,7,209.3888889
155,1,2352050,0,16,147003,10,304895,1,4,0,3,7,1,4,3788,0,4,1,2,235.75
156,1,5497840,1,41,134094,4,57950,2,2,0,5,6,1,3,2013,0,5,4,4,48.09756098
157,1,2438700,0,5,487740,1,7150,1,4,0,4,5,1,6,1318,0,4,1,4,262.6
158,1,8556160,2,92,93002,20,347395,2,2,0,8,4,1,3,3485,0,7,7,6,36.88043478
159,1,5682530,1,9,631392,10,323535,2,2,0,5,5,1,5,3585,0,5,1,4,397.3333333
160,1,3563750,0,26,137067,3,42750,1,2,1,4,7,0,4,3413,0,4,2,4,130.2692308
161,1,3279130,0,14,234224,25,358745,1,2,1,8,5,1,3,1776,0,7,1,6,125.8571429
162,1,4731400,1,5,946280,21,348945,1,4,0,6,5,0,4,3795,0,5,1,4,758
163,1,3705140,0,7,529306,23,379400,2,2,0,9,5,0,3,1510,0,7,4,6,214.7142857
164,1,3911800,0,8,488975,10,304700,2,3,1,9,3,0,4,3797,0,7,5,6,473.625
165,1,2005750,0,3,668583,9,246350,2,4,0,5,5,1,4,1000,0,6,1,3,332.3333333
166,1,23500530,2,46,510881,26,366345,2,2,0,4,5,1,3,3799,1,4,4,4,81.58695652
167,1,2203350,0,4,550838,25,357800,1,2,0,3,6,1,5,3593,0,4,1,5,897.25
168,1,3190290,0,8,398786,28,376845,1,2,1,5,7,0,3,1445,0,5,1,4,179.625
169,1,7390280,1,5,1478056,5,131095,2,4,0,2,7,0,5,3531,0,2,1,2,705.2
170,1,2588800,0,22,117673,4,57950,1,3,0,5,5,1,2,1281,0,5,2,4,57.22727273
171,1,3408240,0,5,681648,28,375650,2,1,0,3,4,0,3,2574,0,4,1,2,513.8
172,1,5799600,1,25,231984,8,260450,2,3,0,3,5,0,5,1000,0,7,2,6,39
173,1,6654900,1,8,831863,27,356450,2,1,0,2,4,0,3,3010,0,2,1,2,375.25
174,1,7814370,2,29,269461,9,246600,2,1,0,7,4,0,3,2923,0,7,2,6,99.79310345
175,1,2545080,0,3,848360,8,262145,2,3,0,4,5,0,5,3808,0,4,1,4,1268.333333
176,1,2545350,0,5,509070,23,379450,2,4,0,5,5,0,2,2787,0,5,1,4,556.4
177,1,6848220,1,8,856028,7,210695,2,3,0,2,3,0,3,1909,0,1,1,2,237.625
178,1,5265860,1,15,351057,24,358750,1,4,0,9,7,0,4,1199,0,7,4,6,78.93333333
179,1,4417450,1,6,736242,20,347200,2,1,0,4,6,0,5,3812,0,4,1,4,634.3333333
180,1,2598820,0,7,371260,17,365645,2,1,0,4,5,0,5,3813,0,4,1,4,543.7142857
181,1,1991640,0,3,663880,23,380095,2,4,1,2,5,0,6,3814,0,7,4,6,1270.333333
182,1,3515660,0,33,106535,7,210695,2,3,0,7,4,0,3,1268,1,7,3,6,37.42424242
183,1,7422670,2,10,742267,19,364850,2,4,0,3,4,0,4,2066,0,4,1,2,205.6
184,1,4114880,1,15,274325,16,364900,1,4,1,9,5,0,5,3817,0,7,5,5,253.4666667
185,1,3215270,0,12,267939,11,296395,1,3,1,4,4,0,5,3818,0,4,1,4,317.1666667
186,1,7370290,1,20,368515,21,348945,2,4,0,8,5,0,3,3341,0,7,2,6,166.05
187,1,2895370,0,10,289537,28,376400,1,4,0,5,2,0,3,3820,0,5,1,4,381
188,1,3379820,0,10,337982,4,58700,1,2,0,3,7,0,6,3287,0,4,1,2,327.7
189,1,4838350,1,16,302397,23,379595,2,4,0,9,5,0,4,3686,1,7,4,6,229.375
190,1,4839120,1,88,54990,30,381445,1,1,0,8,5,0,3,3823,0,3,7,6,42.44318182
191,1,7473830,2,13,574910,24,265635,2,3,0,2,4,0,3,3017,0,2,1,2,231.0769231
192,1,2260300,0,3,753433,29,374050,1,1,0,3,7,1,5,1855,0,4,1,2,617.3333333
193,1,2275200,0,10,227520,25,357550,1,2,1,5,3,1,4,3826,0,5,1,4,381.6
194,1,3863050,0,15,257537,19,366250,1,2,0,9,4,0,4,3620,0,7,3,6,240.3333333
195,1,3778200,0,3,1259400,7,230900,1,3,0,2,4,0,3,3828,0,2,1,2,1275
196,1,3460960,0,7,494423,21,347945,1,4,0,5,7,0,4,3829,0,5,1,4,546
197,1,4002290,0,8,500286,11,296895,2,1,0,9,4,0,4,3830,0,7,3,6,477.75
198,1,2775620,0,17,163272,14,334600,1,1,0,2,4,0,3,3831,0,2,1,2,224.3529412
199,1,8364850,2,5,1672970,25,357050,2,4,0,5,6,0,6,3832,0,5,1,3,765.4
200,1,2553200,0,19,134379,8,261395,1,4,1,7,5,1,4,3467,0,7,1,5,181.4736842
201,1,2763190,0,3,921063,15,326100,2,2,1,3,6,0,4,3834,0,4,1,2,1277
202,1,4631300,1,18,257294,7,209750,2,4,0,9,3,1,4,3835,1,7,4,6,212.0555556
203,1,3790000,0,4,947500,23,380095,1,1,1,3,5,0,5,1310,0,7,1,6,326.5
204,1,1955000,0,13,150385,6,186545,1,2,0,6,7,0,3,2335,0,6,1,4,178.6153846
205,1,21449000,2,14,1532071,14,334100,2,4,0,3,4,0,3,2718,1,4,1,2,193.1428571
206,1,2284510,0,19,120237,1,5945,1,2,0,5,4,0,3,3839,0,5,1,4,201.0526316
207,1,4523390,1,10,452339,19,365350,1,4,0,6,7,0,4,3745,0,5,1,3,373.5
208,1,11406550,2,34,335487,22,350495,2,2,0,6,6,0,5,3841,1,5,3,4,111.9705882
209,1,4878440,1,20,243922,30,380500,2,1,0,5,6,0,4,3479,0,5,2,4,172.95
210,1,21249060,2,18,1180503,1,4250,2,4,0,2,6,0,5,3843,1,2,1,2,212.5
211,1,4586990,1,13,352845,8,260950,1,2,1,1,6,0,5,3535,1,2,1,2,270.9230769
212,1,7001310,1,12,583443,19,365600,2,4,0,9,6,0,4,2589,0,7,5,6,214.75
213,1,26676000,2,17,1569176,5,130650,2,2,0,9,5,1,3,3466,1,7,5,5,202.8823529
214,1,3338750,0,6,556458,22,349550,1,2,1,3,6,0,7,3847,0,4,1,1,640.1666667
215,1,10366800,2,7,1480971,20,348545,2,2,0,2,6,1,7,1340,1,2,1,2,190.4285714
216,1,2395150,0,2,1197575,4,58895,2,4,0,4,5,1,4,1630,0,1,1,4,814
217,1,15085020,2,30,502834,6,185600,2,2,0,7,6,0,6,2080,1,7,3,6,68.33333333
218,1,1905040,0,22,86593,12,303500,1,4,0,5,5,0,4,3727,0,5,2,4,168.4090909
219,1,2029900,0,7,289986,14,335295,1,3,1,4,5,1,5,3852,0,4,1,4,549.2857143
220,1,3657550,0,25,146302,15,325850,1,4,0,6,5,0,4,3853,0,5,2,4,153.12
221,1,6072250,1,27,224898,12,303500,2,4,1,9,5,0,4,3854,0,7,2,7,141.7407407
222,1,2866550,0,4,716638,21,347250,2,2,0,3,7,0,3,1000,0,4,1,2,249
223,1,4193720,1,10,419372,4,77535,1,2,0,3,4,1,3,2767,0,4,1,2,275.7
224,1,3254850,0,17,191462,13,323795,2,3,0,5,6,1,3,1000,0,5,1,4,57.82352941
225,1,3381010,0,31,109065,28,377845,1,4,1,5,5,0,4,2618,0,5,3,5,83.4516129
226,1,2483230,0,11,225748,17,365145,1,3,1,2,6,0,5,5334,1,2,1,2,483.9090909
227,1,4787460,1,30,159582,29,373550,2,1,0,6,4,1,5,3860,0,5,3,4,127.6666667
228,1,1980230,0,13,152325,8,261895,1,2,1,4,6,0,3,3861,0,4,1,4,296
229,1,2568150,0,6,428025,23,400600,2,3,0,2,4,0,3,1000,1,2,1,2,165.6666667
230,1,3082460,0,21,146784,23,379200,1,4,0,8,7,1,4,3863,0,3,2,6,182.952381
231,1,2409660,0,22,109530,18,342645,1,1,1,6,4,0,3,1658,0,5,2,4,74.36363636
232,1,4204150,1,6,700692,25,358745,2,3,1,6,5,0,5,3865,0,5,1,4,643.1666667
233,1,7280850,1,15,485390,23,379150,2,2,0,3,6,0,3,3866,0,4,1,3,256.7333333
234,1,2371770,0,8,296471,22,351245,2,4,1,1,5,1,7,3867,0,7,1,6,482.375
235,1,2798500,0,1,2798500,20,346450,1,4,0,1,4,0,3,1867,0,2,1,2,1866
236,1,3452320,0,30,115077,1,6650,1,2,1,8,5,0,3,3869,0,7,3,6,127.9666667
237,1,4002100,0,5,800420,19,366695,2,2,0,4,6,0,4,3870,0,4,1,4,773
238,1,1928250,0,4,482063,22,349800,1,4,1,2,5,1,6,3871,0,7,5,3,966.75
239,1,7567630,2,6,1261272,15,325795,2,2,0,9,5,0,3,3872,0,7,4,6,644.3333333
240,1,2225510,0,4,556378,3,43945,1,3,0,4,5,1,5,3873,0,4,1,4,967.25
241,1,2319100,0,3,773033,13,344500,1,1,0,3,4,1,5,1657,0,4,1,2,551.3333333
242,1,2286390,0,14,163314,17,363700,1,2,0,9,4,0,4,3875,1,7,4,6,275.7857143
243,1,2358100,0,30,78603,21,347000,1,2,1,7,3,0,3,3876,0,7,3,6,128.2
244,1,2047000,0,4,511750,23,380395,2,4,0,1,7,0,2,1000,1,6,1,2,249
245,1,6043400,1,20,302170,19,365100,2,2,1,7,4,1,5,3878,0,7,2,6,192.9
246,1,13249060,2,26,509579,29,374550,2,2,0,7,6,1,4,3879,1,7,2,7,148.1923077
247,1,3804000,0,4,951000,7,210945,2,3,0,3,3,0,2,1000,1,4,1,2,249
248,1,2990500,0,19,157395,3,43250,1,4,0,6,7,1,4,3881,0,5,1,4,203.2631579
249,1,4107650,1,58,70822,27,355950,2,1,0,6,5,0,3,3882,0,5,5,4,65.93103448
250,1,2769600,0,2,1384800,1,4945,1,4,0,2,6,1,4,2339,0,2,1,2,1168.5
251,1,2000000,0,9,222222,18,342145,1,3,0,3,5,1,4,3884,0,7,1,6,430.5555556
252,1,2395000,0,6,399167,18,377500,2,1,0,2,4,0,3,3632,0,2,1,2,604.3333333
